student;studieteknik;jobb_studier
Student_1;Flashcards;Construction Worker
Student_2;Active Recall;Construction Worker
Student_3;Self Testing;Customer Support
Student_4;Reading Aloud;Barista
Student_5;Mind Mapping;Programming
Student_6;Active Recall;Research Assistant
Student_7;Reading Aloud;Research Assistant
Student_8;Flashcards;Retail
Student_9;Group Study;Nursing
Student_10;Active Recall;Research Assistant
Student_11;Group Study;Programming
Student_12;Mind Mapping;Customer Support
Student_13;Reading Aloud;Freelance Writer
Student_14;Flashcards;Freelance Writer
Student_15;Reading Aloud;Freelance Writer
Student_16;Reading Aloud;Barista
Student_17;Pomodoro;Construction Worker
Student_18;Reading Aloud;Customer Support
Student_19;Mind Mapping;Barista
Student_20;Pomodoro;Construction Worker
Student_21;Self Testing;Retail
Student_22;Mind Mapping;Research Assistant
Student_23;Reading Aloud;Construction Worker
Student_24;Active Recall;Barista
Student_25;Flashcards;Freelance Writer
Student_26;Flashcards;Freelance Writer
Student_27;Pomodoro;Construction Worker
Student_28;Active Recall;Retail
Student_29;Active Recall;Barista
Student_30;Mind Mapping;Freelance Writer
